method,scenario,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
critiquescope,behavioral_rollback,5,7.626799999999999,0.8474222222222221,0.5333333333333333,0.1111111111111111,9.0,0.888888888888889,11.0,-0.11759999999999984,-0.022800000000000063,0.0,0.29399999999999976,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,diversity_request,5,9.4,1.0444444444444445,0.6666666666666666,0.1111111111111111,9.0,0.8444444444444444,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
critiquescope,genuine_drift,5,9.499999999999998,0.9499999999999998,0.6,0.1,10.0,0.8,11.0,0.0,-0.3100000000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,mixed_multi_turn,5,9.4,1.0444444444444445,0.6666666666666666,0.1111111111111111,9.0,0.8444444444444444,11.0,0.0,-0.08400000000000052,0.0,0.1639999999999997,0.2222222222222222,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,session_context,5,16.18,1.3483333333333334,1.0,0.0,12.0,0.9666666666666667,11.0,0.0,0.043999999999999595,0.0,0.16599999999999948,0.4375,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
critiquescope,stable_dislike,5,15.512,1.2926666666666666,0.8333333333333334,0.0,12.0,0.9833333333333334,10.0,0.0,-0.1559999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
critiquescope,temporary_fatigue,5,9.4,1.0444444444444445,0.6666666666666666,0.1111111111111111,9.0,0.8444444444444444,11.0,0.0,0.0,0.0,0.06599999999999984,0.16666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,behavioral_rollback,5,7.114,0.88925,0.625,0.125,8.0,0.95,11.0,-0.11759999999999984,-0.31679999999999986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,diversity_request,5,9.4,1.0444444444444445,0.6666666666666666,0.1111111111111111,9.0,0.8444444444444444,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
flat,genuine_drift,5,9.499999999999998,0.9499999999999998,0.6,0.1,10.0,0.8,11.0,0.0,-0.3100000000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,mixed_multi_turn,5,9.168,1.0186666666666666,0.6666666666666666,0.1111111111111111,9.0,0.8666666666666667,11.0,0.0,-0.17600000000000016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
