method,scenario,n,instruction_satisfaction_mean,memory_contamination_rate_mean,over_correction_rate_mean,over_correction_regret_mean,promotion_precision_mean,promotion_recall_mean,rollback_accuracy_mean,instruction_uplift_mean,over_application_regret_mean,token_cost_mean
critiquescope,diversity_not_dislike,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5999999999999999,0.5499999999999998,22.0
critiquescope,persistent_political_filter,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7599999999999998,0.009999999999999787,28.0
critiquescope,session_family_dinner,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3799999999999999,22.0
critiquescope,temporary_ufc_fatigue,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,1.2999999999999998,22.0
critiquescope,ufc_behavioral_rollback,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.25,1.0999999999999999,22.0
critiquescope,windows_to_mac_drift,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,0.1499999999999999,35.0
flat,diversity_not_dislike,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5999999999999999,0.5499999999999998,29.0
flat,persistent_political_filter,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7599999999999998,0.009999999999999787,28.0
flat,session_family_dinner,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3799999999999999,29.0
flat,temporary_ufc_fatigue,5,1.0,1.0,1.0,0.9,0.0,1.0,1.0,1.4,1.2999999999999998,28.0
flat,ufc_behavioral_rollback,5,1.0,1.0,1.0,0.9,0.0,1.0,0.0,1.25,1.0999999999999999,28.0
flat,windows_to_mac_drift,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,0.1499999999999999,35.0
none,diversity_not_dislike,5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,persistent_political_filter,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
none,session_family_dinner,5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,temporary_ufc_fatigue,5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,ufc_behavioral_rollback,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
none,windows_to_mac_drift,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
structured,diversity_not_dislike,5,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5999999999999999,0.5499999999999998,24.0
structured,persistent_political_filter,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7599999999999998,0.009999999999999787,23.0
structured,session_family_dinner,5,1.0,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.3799999999999999,24.0
structured,temporary_ufc_fatigue,5,1.0,0.5,1.0,0.9,0.5,1.0,1.0,1.4,1.2999999999999998,23.0
structured,ufc_behavioral_rollback,5,1.0,0.0,1.0,0.9,1.0,1.0,0.0,1.25,1.0999999999999999,23.0
structured,windows_to_mac_drift,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,0.1499999999999999,25.0
time_decay,diversity_not_dislike,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5999999999999999,0.5499999999999998,22.0
time_decay,persistent_political_filter,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7599999999999998,0.009999999999999787,28.0
time_decay,session_family_dinner,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3799999999999999,22.0
time_decay,temporary_ufc_fatigue,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,1.2999999999999998,22.0
time_decay,ufc_behavioral_rollback,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.25,1.0999999999999999,22.0
time_decay,windows_to_mac_drift,5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.4,0.1499999999999999,35.0
