method,scenario,seed,instruction_satisfaction,memory_contamination_rate,over_correction_rate,over_correction_regret,promotion_precision,promotion_recall,rollback_accuracy,drift_recovery_turns,expired_constraint_violation_rate,instruction_uplift,over_application_regret,token_cost,status
none,temporary_ufc_fatigue,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_ufc_fatigue,0,1.0,1.0,1.0,0.9,0.0,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,28,SMOKE_TEST_ONLY
structured,temporary_ufc_fatigue,0,1.0,0.5,1.0,0.9,0.5,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,23,SMOKE_TEST_ONLY
time_decay,temporary_ufc_fatigue,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
critiquescope,temporary_ufc_fatigue,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
none,persistent_political_filter,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,persistent_political_filter,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
structured,persistent_political_filter,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,23,SMOKE_TEST_ONLY
time_decay,persistent_political_filter,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
critiquescope,persistent_political_filter,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
none,diversity_not_dislike,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_not_dislike,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,29,SMOKE_TEST_ONLY
structured,diversity_not_dislike,0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,24,SMOKE_TEST_ONLY
time_decay,diversity_not_dislike,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
critiquescope,diversity_not_dislike,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
none,session_family_dinner,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,session_family_dinner,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3799999999999999,29,SMOKE_TEST_ONLY
structured,session_family_dinner,0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.3799999999999999,24,SMOKE_TEST_ONLY
time_decay,session_family_dinner,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3799999999999999,22,SMOKE_TEST_ONLY
critiquescope,session_family_dinner,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3799999999999999,22,SMOKE_TEST_ONLY
none,windows_to_mac_drift,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,windows_to_mac_drift,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
structured,windows_to_mac_drift,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,25,SMOKE_TEST_ONLY
time_decay,windows_to_mac_drift,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
critiquescope,windows_to_mac_drift,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
none,ufc_behavioral_rollback,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,ufc_behavioral_rollback,0,1.0,1.0,1.0,0.9,0.0,1.0,0.0,0.0,1.0,1.25,1.0999999999999999,28,SMOKE_TEST_ONLY
structured,ufc_behavioral_rollback,0,1.0,0.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.25,1.0999999999999999,23,SMOKE_TEST_ONLY
time_decay,ufc_behavioral_rollback,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.25,1.0999999999999999,22,SMOKE_TEST_ONLY
critiquescope,ufc_behavioral_rollback,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.25,1.0999999999999999,22,SMOKE_TEST_ONLY
none,temporary_ufc_fatigue,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_ufc_fatigue,1,1.0,1.0,1.0,0.9,0.0,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,28,SMOKE_TEST_ONLY
structured,temporary_ufc_fatigue,1,1.0,0.5,1.0,0.9,0.5,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,23,SMOKE_TEST_ONLY
time_decay,temporary_ufc_fatigue,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
critiquescope,temporary_ufc_fatigue,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
none,persistent_political_filter,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,persistent_political_filter,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
structured,persistent_political_filter,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,23,SMOKE_TEST_ONLY
time_decay,persistent_political_filter,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
critiquescope,persistent_political_filter,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
none,diversity_not_dislike,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_not_dislike,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,29,SMOKE_TEST_ONLY
structured,diversity_not_dislike,1,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,24,SMOKE_TEST_ONLY
time_decay,diversity_not_dislike,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
critiquescope,diversity_not_dislike,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
none,session_family_dinner,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,session_family_dinner,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3799999999999999,29,SMOKE_TEST_ONLY
structured,session_family_dinner,1,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.3799999999999999,24,SMOKE_TEST_ONLY
time_decay,session_family_dinner,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3799999999999999,22,SMOKE_TEST_ONLY
critiquescope,session_family_dinner,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3799999999999999,22,SMOKE_TEST_ONLY
none,windows_to_mac_drift,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,windows_to_mac_drift,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
structured,windows_to_mac_drift,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,25,SMOKE_TEST_ONLY
time_decay,windows_to_mac_drift,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
critiquescope,windows_to_mac_drift,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,0.1499999999999999,35,SMOKE_TEST_ONLY
none,ufc_behavioral_rollback,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,ufc_behavioral_rollback,1,1.0,1.0,1.0,0.9,0.0,1.0,0.0,0.0,1.0,1.25,1.0999999999999999,28,SMOKE_TEST_ONLY
structured,ufc_behavioral_rollback,1,1.0,0.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.25,1.0999999999999999,23,SMOKE_TEST_ONLY
time_decay,ufc_behavioral_rollback,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.25,1.0999999999999999,22,SMOKE_TEST_ONLY
critiquescope,ufc_behavioral_rollback,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.25,1.0999999999999999,22,SMOKE_TEST_ONLY
none,temporary_ufc_fatigue,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_ufc_fatigue,2,1.0,1.0,1.0,0.9,0.0,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,28,SMOKE_TEST_ONLY
structured,temporary_ufc_fatigue,2,1.0,0.5,1.0,0.9,0.5,1.0,1.0,0.0,1.0,1.4,1.2999999999999998,23,SMOKE_TEST_ONLY
time_decay,temporary_ufc_fatigue,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
critiquescope,temporary_ufc_fatigue,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4,1.2999999999999998,22,SMOKE_TEST_ONLY
none,persistent_political_filter,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,persistent_political_filter,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
structured,persistent_political_filter,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,23,SMOKE_TEST_ONLY
time_decay,persistent_political_filter,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
critiquescope,persistent_political_filter,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7599999999999998,0.009999999999999787,28,SMOKE_TEST_ONLY
none,diversity_not_dislike,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_not_dislike,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,29,SMOKE_TEST_ONLY
structured,diversity_not_dislike,2,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5999999999999999,0.5499999999999998,24,SMOKE_TEST_ONLY
time_decay,diversity_not_dislike,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
critiquescope,diversity_not_dislike,2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5999999999999999,0.5499999999999998,22,SMOKE_TEST_ONLY
none,session_family_dinner,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
