method,scenario,n,instruction_satisfaction_mean,memory_contamination_rate_mean,over_correction_rate_mean,over_correction_regret_mean,promotion_precision_mean,promotion_recall_mean,rollback_accuracy_mean,instruction_uplift_mean,over_application_regret_mean,token_cost_mean
critiquescope,ambiguous_diversify_movies,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.47999999999999976,0.46999999999999975,22.0
critiquescope,conflicting_spicy_light_food,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.71,0.45000000000000007,22.0
critiquescope,drift_android_to_iphone,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.22,0.1299999999999999,35.0
critiquescope,noisy_soft_fatigue_ufc,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.29,1.17,22.0
critiquescope,persistent_but_polite_horror,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.020000000000000018,28.0
flat,ambiguous_diversify_movies,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.47999999999999976,0.46999999999999975,29.0
flat,conflicting_spicy_light_food,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.71,0.45000000000000007,36.0
flat,drift_android_to_iphone,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.22,0.1299999999999999,35.0
flat,noisy_soft_fatigue_ufc,3,1.0,1.0,1.0,0.85,0.0,1.0,1.0,1.29,1.17,28.0
flat,persistent_but_polite_horror,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.020000000000000018,28.0
none,ambiguous_diversify_movies,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,conflicting_spicy_light_food,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,drift_android_to_iphone,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
none,noisy_soft_fatigue_ufc,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
none,persistent_but_polite_horror,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
structured,ambiguous_diversify_movies,3,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.47999999999999976,0.46999999999999975,24.0
structured,conflicting_spicy_light_food,3,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.71,0.45000000000000007,26.0
structured,drift_android_to_iphone,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.22,0.1299999999999999,25.0
structured,noisy_soft_fatigue_ufc,3,1.0,0.5,1.0,0.85,0.5,1.0,1.0,1.29,1.17,23.0
structured,persistent_but_polite_horror,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.020000000000000018,23.0
time_decay,ambiguous_diversify_movies,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.47999999999999976,0.46999999999999975,22.0
time_decay,conflicting_spicy_light_food,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.71,0.45000000000000007,22.0
time_decay,drift_android_to_iphone,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.22,0.1299999999999999,35.0
time_decay,noisy_soft_fatigue_ufc,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.29,1.17,22.0
time_decay,persistent_but_polite_horror,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.020000000000000018,28.0
