method,scenario,seed,instruction_satisfaction,memory_contamination_rate,over_correction_rate,over_correction_regret,promotion_precision,promotion_recall,rollback_accuracy,drift_recovery_turns,expired_constraint_violation_rate,instruction_uplift,over_application_regret,token_cost,status
none,noisy_soft_fatigue_ufc,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,noisy_soft_fatigue_ufc,0,1.0,1.0,1.0,0.85,0.0,1.0,1.0,0.0,1.0,1.29,1.17,28,SMOKE_TEST_ONLY
structured,noisy_soft_fatigue_ufc,0,1.0,0.5,1.0,0.85,0.5,1.0,1.0,0.0,1.0,1.29,1.17,23,SMOKE_TEST_ONLY
time_decay,noisy_soft_fatigue_ufc,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.29,1.17,22,SMOKE_TEST_ONLY
critiquescope,noisy_soft_fatigue_ufc,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.29,1.17,22,SMOKE_TEST_ONLY
none,ambiguous_diversify_movies,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,ambiguous_diversify_movies,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.47999999999999976,0.46999999999999975,29,SMOKE_TEST_ONLY
structured,ambiguous_diversify_movies,0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.47999999999999976,0.46999999999999975,24,SMOKE_TEST_ONLY
time_decay,ambiguous_diversify_movies,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.47999999999999976,0.46999999999999975,22,SMOKE_TEST_ONLY
critiquescope,ambiguous_diversify_movies,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.47999999999999976,0.46999999999999975,22,SMOKE_TEST_ONLY
none,conflicting_spicy_light_food,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,conflicting_spicy_light_food,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.71,0.45000000000000007,36,SMOKE_TEST_ONLY
structured,conflicting_spicy_light_food,0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.71,0.45000000000000007,26,SMOKE_TEST_ONLY
time_decay,conflicting_spicy_light_food,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.71,0.45000000000000007,22,SMOKE_TEST_ONLY
critiquescope,conflicting_spicy_light_food,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.71,0.45000000000000007,22,SMOKE_TEST_ONLY
none,persistent_but_polite_horror,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,persistent_but_polite_horror,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
structured,persistent_but_polite_horror,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,23,SMOKE_TEST_ONLY
time_decay,persistent_but_polite_horror,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
critiquescope,persistent_but_polite_horror,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
none,drift_android_to_iphone,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,drift_android_to_iphone,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
structured,drift_android_to_iphone,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,25,SMOKE_TEST_ONLY
time_decay,drift_android_to_iphone,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
critiquescope,drift_android_to_iphone,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
none,noisy_soft_fatigue_ufc,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,noisy_soft_fatigue_ufc,1,1.0,1.0,1.0,0.85,0.0,1.0,1.0,0.0,1.0,1.29,1.17,28,SMOKE_TEST_ONLY
structured,noisy_soft_fatigue_ufc,1,1.0,0.5,1.0,0.85,0.5,1.0,1.0,0.0,1.0,1.29,1.17,23,SMOKE_TEST_ONLY
time_decay,noisy_soft_fatigue_ufc,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.29,1.17,22,SMOKE_TEST_ONLY
critiquescope,noisy_soft_fatigue_ufc,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.29,1.17,22,SMOKE_TEST_ONLY
none,ambiguous_diversify_movies,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,ambiguous_diversify_movies,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.47999999999999976,0.46999999999999975,29,SMOKE_TEST_ONLY
structured,ambiguous_diversify_movies,1,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.47999999999999976,0.46999999999999975,24,SMOKE_TEST_ONLY
time_decay,ambiguous_diversify_movies,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.47999999999999976,0.46999999999999975,22,SMOKE_TEST_ONLY
critiquescope,ambiguous_diversify_movies,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.47999999999999976,0.46999999999999975,22,SMOKE_TEST_ONLY
none,conflicting_spicy_light_food,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,conflicting_spicy_light_food,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.71,0.45000000000000007,36,SMOKE_TEST_ONLY
structured,conflicting_spicy_light_food,1,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.71,0.45000000000000007,26,SMOKE_TEST_ONLY
time_decay,conflicting_spicy_light_food,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.71,0.45000000000000007,22,SMOKE_TEST_ONLY
critiquescope,conflicting_spicy_light_food,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.71,0.45000000000000007,22,SMOKE_TEST_ONLY
none,persistent_but_polite_horror,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,persistent_but_polite_horror,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
structured,persistent_but_polite_horror,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,23,SMOKE_TEST_ONLY
time_decay,persistent_but_polite_horror,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
critiquescope,persistent_but_polite_horror,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.020000000000000018,28,SMOKE_TEST_ONLY
none,drift_android_to_iphone,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,drift_android_to_iphone,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
structured,drift_android_to_iphone,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,25,SMOKE_TEST_ONLY
time_decay,drift_android_to_iphone,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
critiquescope,drift_android_to_iphone,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.22,0.1299999999999999,35,SMOKE_TEST_ONLY
none,noisy_soft_fatigue_ufc,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,noisy_soft_fatigue_ufc,2,1.0,1.0,1.0,0.85,0.0,1.0,1.0,0.0,1.0,1.29,1.17,28,SMOKE_TEST_ONLY
